Words,Words_Count
of,378
the,375
in,278
and,209
fipa,141
to,135
with,107
ftsz,94
was,92
that,92
by,89
m,76
is,66
stress,65
cell,60
for,57
division,49
were,49
pkna,48
as,45
ftsq,44
cells,43
or,43
oxidative,42
on,38
phosphorylation,37
under,37
we,36
at,34
role,33
tuberculosis,32
smegmatis,32
using,31
type,29
are,29
fipamtb,29
this,28
wild,27
its,27
interaction,26
protein,25
an,24
down,23
it,22
proteins,21
localization,21
between,21
could,21
phosphorylated,20
mycobacteria,20
domain,19
not,19
order,18
these,17
required,17
mutant,17
after,16
fha,16
gene,16
macrophages,15
absence,15
pknb,14
mm,14
complex,14
cluster,14
growth,14
vivo,13
into,13
out,13
formation,13
from,13
antisense,13
two,13
which,12
be,12
described,12
sites,12
complemented,12
pcr,12
cloned,11
antibody,11
western,11
kinases,11
genes,11
region,11
sense,11
confirmed,11
lysates,11
followed,11
encoded,10
dna,10
bamhi,10
site,10
however,10
analysis,10
blotting,9
pstp,9
products,9
ftszmtb,9
product,9
primers,9
but,9
tested,9
have,9
interact,9
other,9
whether,9
et,9
earlier,9
results,9
response,9
sos,9
ability,9
such,9
knock,9
expression,9
kinase,9
amplified,9
al,9
suggest,8
coli,8
encompassing,8
amino,8
acid,8
defect,8
induction,8
pbpa,8
strains,8
performed,8
e,8
conditions,8
mycobacterial,8
vitro,8
purified,8
within,8
reca,8
plays,8
interacts,8
septum,8
septal,8
used,8
residues,8
generate,8
treatment,8
primer,8
mb,8
also,7
generated,7
divisomal,7
dcw,7
complementation,7
ftsw,7
lexa,7
our,7
incubation,7
conserved,7
vector,7
mass,7
pair,7
strain,7
showed,7
function,7
likely,6
localize,6
without,6
manner,6
containing,6
mitomycin,6
genomic,6
ring,6
figure,6
divisome,6
assembly,6
suggesting,6
threonine,6
shown,6
b,6
been,6
pulled,6
understand,6
presence,6
carried,6
carrying,6
survival,6
h,6
well,6
hindiii,6
than,6
subjected,6
fipamsmeg,5
findings,5
fact,5
extent,5
important,5
first,5
increase,5
growing,5
grown,5
demonstrate,5
integrating,5
immunoprecipitates,5
µm,5
phase,5
knocked,5
mutants,5
antibodies,5
plasmid,5
suggests,5
c,5
pbs,5
over,5
bp,5
orf,5
observations,5
there,5
no,5
ko,5
mycobacterium,5
step,5
considering,5
above,5
wt,5
control,5
punctate,5
slides,5
supporting,5
across,5
microscopy,5
confirm,5
whereas,5
single,5
suggested,4
similar,4
respectively,4
suicide,4
support,4
then,4
sustain,4
ternary,4
test,4
their,4
residue,4
even,4
therefore,4
view,4
end,4
electroporated,4
either,4
ecori,4
fragment,4
promoter,4
remains,4
regulate,4
lane,4
length,4
isolated,4
iptg,4
