Country,UN SDG Region
Zimbabwe,Sub-Saharan Africa
Angola,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Democratic Republic of the Congo,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Sao Tome and Principe,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Eswatini,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Côte d’Ivoire,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Australia,Australia and New Zealand
New Zealand,Australia and New Zealand
Fiji,Oceania excluding Australia and New Zealand
Papua New Guinea,Oceania excluding Australia and New Zealand
Solomon Islands,Oceania excluding Australia and New Zealand
Vanuatu,Oceania excluding Australia and New Zealand
Kiribati,Oceania excluding Australia and New Zealand
Micronesia (Federated States of),Oceania excluding Australia and New Zealand
Samoa,Oceania excluding Australia and New Zealand
Tonga,Oceania excluding Australia and New Zealand
