Words,Words_Count
the,354
of,227
and,171
in,116
to,90
ancient,82
dna,81
sequences,79
type,70
modern,60
that,57
for,56
nucleotide,51
is,48
by,43
transitions,41
are,40
from,37
misincorporation,37
were,32
as,31
on,30
number,25
each,24
this,23
contaminant,22
pcr,22
mitochondrial,21
misincorporations,21
be,20
et,20
we,20
can,20
sample,20
al,20
or,20
sequence,19
damage,19
total,18
was,18
with,18
rate,17
which,17
complementary,17
groups,16
been,16
polymerase,15
analysis,15
using,14
putative,14
coverage,14
have,14
group,14
observed,14
studies,13
respectively,13
error,13
performed,12
amplification,12
fragment,12
values,12
nucleotides,12
during,11
has,11
ratio,11
lesions,11
dataset,11
two,11
miscoding,11
an,11
results,11
than,11
our,10
mtdna,10
obtained,10
reported,10
datasets,10
between,9
analysed,9
tests,9
samples,9
also,9
all,9
used,9
rates,9
different,9
system,9
pyrosequencing,9
it,9
at,9
scaled,8
cytosine,8
however,8
human,8
one,8
those,8
taq,8
more,8
when,8
further,8
original,8
such,8
both,8
specimens,7
approximately,7
them,7
compared,7
found,7
deamination,7
bp,7
basis,7
clones,7
clonal,7
use,7
several,7
only,7
based,7
reaction,7
shown,7
degradation,7
sequencing,7
within,7
hypothesis,7
not,7
these,7
same,6
frequent,6
specimen,6
transition,6
gilbert,6
data,6
result,6
null,6
contaminants,6
platform,6
mixed,6
reads,6
most,6
previously,6
represented,6
procedure,6
bases,6
while,5
strong,5
six,5
level,5
other,5
due,5
considered,5
described,5
according,5
approach,5
endogenous,5
showed,5
ermini,5
bias,5
among,5
case,5
transversions,5
three,5
high,5
shows,5
incidence,5
mummy,5
issue,5
base,5
into,5
contamination,4
derived,4
could,4
phylogenetical,4
particular,4
modifications,4
statistical,4
originally,4
molecules,4
produced,4
materials,4
products,4
majority,4
m,4
previous,4
investigations,4
contain,4
present,4
nuclear,4
had,4
observe,4
molecular,4
generated,4
possible,4
fact,4
enzymes,4
either,4
genome,4
a,4
after,4
their,4
techniques,4
calculated,4
then,4
test,4
authors,4
consequence,4
adna,4
toward,4
hand,3
guanine,3
consistent,3
represent,3
thus,3
true,3
hifidelity,3
higher,3
hot,3
iceman,3
remains,3
time,3
extracted,3
first,3
cave,3
invitrogen,3
second,3
experimental,3
certain,3
set,3
significance,3
classes,3
similar,3
sites,3
small,3
some,3
source,3
relatively,3
laboratory,3
us,3
knowledge,3
yielded,3
patterns,3
phenomenon,3
years,3
platinum,3
adenine,3
pooled,3
work,3
allowed,3
amplifications,3
nature,3
preserved,3
archaeological,3
modal,3
vary,3
value,3
mean,3
mb,3
may,3
attributable,3
mammoth,3
provided,3
low,3
literature,3
lindahl,3
pure,3
leads,3
large,3
distinction,3
specific,3
hydrolytic,3
pdf,3
confirms,3
copy,3
support,3
sum,3
start,3
study,3
technology,3
contributes,3
templates,3
copies,3
detailed,3
strongly,3
compare,3
table,3
comparable,3
template,3
displays,3
qiagen,2
less,2
subsequent,2
b,2
substitutions,2
purines,2
balance,2
temperatures,2
available,2
substrate,2
death,2
ranging,2
published,2
about,2
suggest,2
made,2
main,2
mainly,2
protocol,2
quantitative,2
